epsilon,Average Cost,Cost variance,Time taken
0,5.8172454104,7.88860905221012E-31,0
0.02,6.1577496237,0.264352348,1
0.04,7.5294154444,2.4701954279,2
0.06,9.3288781859,4.6960852161,3
0.08,11.4086018647,8.3623044541,4
0.1,15.6054890876,27.4549519426,5
0.2,33.1005542601,152.0931128809,0
0.4,113.6240678134,2024.9459299875,0
0.6,265.8900566191,13337.4432281092,0
0.8,472.8328304253,38139.0208025062,0
1,753.6168302471,122900.498409069,0
1.2,1070.867126992,208486.004736402,0
1.4,1432.9102215312,405503.749626749,0
1.6,1877.7229118172,629936.216848504,0
1.8,2317.2098249561,745270.225833721,0
2,2987.4561142701,1640006.31572395,0
