epsilon,Average Cost,Cost variance,Time taken
0,4.769527984,3.18731678877177E-30,0
0.02,5.0696627235,0.2161007015,0
0.04,6.0394147847,0.9210633633,0
0.06,7.5518603407,3.4787363865,0
0.08,9.7120109633,9.2229874059,0
0.1,12.7876357352,11.5173416755,0
0.12,15.6619317406,30.4980334208,0
0.14,19.4796379392,68.953902341,0
0.16,26.7321384693,111.7919570781,0
0.18,28.2512237632,134.5024173212,0
0.2,34.0232661312,212.1661925265,0
0.4,123.9948539522,2881.167857745,56.98397618
0.6,293.2502619829,17736.1152642046,61.70974252
0.8,478.9164321293,51708.6499504293,64.65443272
1,799.0485920493,130777.035079524,64.93530854
