epsilon,Average Cost,Cost variance,Time taken
0,4.8306602929,7.88860905221012E-31,14.2960826802
0.02,4.8676684844,0.1698909616,14.3236953664
0.04,5.6341770617,0.8619051238,14.2911221313
0.06,7.2064424016,3.1977214016,14.330033679
0.08,9.2253901837,4.8830605164,14.4054023623
0.1,11.085548575,7.8135433976,14.4489864302
0.12,14.584784716,21.5599401338,14.4240062141
0.14,19.3333396415,46.6222619908,14.6305796552
0.16,21.6931832856,52.3438000572,14.601971643
0.18,25.501474475,84.7988121205,14.4044865561
0.2,31.1682318264,185.3721418567,14.2939198232
0.4,110.5152776685,2650.8442797593,14.5805851769
0.6,243.1473225025,15692.0690252343,14.3702760196
0.8,488.7979097304,175939.166733946,14.5062316036
1,2015.8184161523,36217171.200345,14.3052904606
