epsilon,Average Cost,Cost variance,Time taken
0,219.3225,0,0
0.01,219.646262367028,0.749123617076733,5.158909794
0.02,220.49000618782,3.56685683121175,5.103762972
0.03,221.849282227637,9.19501072594302,5.808067352
0.04,224.07481524102,21.6928535079508,5.654850716
0.05,226.048889510805,32.1063258638049,5.940544016
0.06,228.487790904919,59.4012432395285,6.134961652
0.07,231.493895149304,82.6409772043335,6.505080084
0.08,234.93653788134,117.106430401542,6.820746022
0.09,239.626341769725,196.17683586328,7.101993534
0.1,242.690111205129,218.498921910369,7.734110766
0.15,266.621834935627,744.074205103257,10.31592608
0.2,293.469582716688,1281.44614079913,11.69563098
