epsilon,Average Cost,Cost variance,Time taken
0,1625.81391437655,1.68E-23,0.001298302
0.01,1629.39002955583,86.0519501255328,0.468421362
0.02,1637.07088181975,364.12107100586,0.502390262
0.03,1656.77946511821,978.115976256266,0.55550375
0.04,1673.73852627001,1848.55463868061,0.572410922
0.05,1712.45185187523,3709.30618097038,0.60780846
0.07,1782.63724238831,12143.7253592655,0.653580186
0.08,1828.45695989451,15976.2707018817,0.638488372
0.1,1956.21125153584,42414.8111223816,0.693432064
0.15,2306.88069304413,124474.722458857,0.736693736
0.2,2905.41709297287,507018.269224305,0.74279176
