epsilon,Average Cost,Cost variance,Time taken
0,219.3225,0,0
0.01,219.578765606643,0.823664340108733,0.005179308
0.02,220.681450726342,4.38565166711258,0.005108534
0.03,222.347924721421,11.3332855945826,0.0054815
0.05,226.800918070472,41.4171749001634,0.005346286
0.06,230.38642256039,77.999954272908,0.006134516
0.07,233.915492823672,107.845739367541,0.005065726
0.08,238.603090151521,226.304491779096,0.00522869
0.09,244.019298587205,331.046647572488,0.00502113
0.1,250.446170342321,425.790583693361,0.005117634
0.15,281.360342215289,1783.62711321,0.005067758
0.2,349.129224206406,7795.58309966999,0.005149186
